rqvi_candidate,rqvi_seed,rqvi_gp,informative
seed1:GP116,1,GP116,True
seed1:GP117,1,GP117,True
seed1:GP118,1,GP118,True
seed1:GP119,1,GP119,True
seed1:GP120,1,GP120,True
seed1:GP121,1,GP121,True
seed1:GP122,1,GP122,True
seed1:GP123,1,GP123,True
seed1:GP124,1,GP124,True
seed1:GP125,1,GP125,True
seed1:GP126,1,GP126,True
seed1:GP127,1,GP127,True
seed1:GP128,1,GP128,True
seed1:GP129,1,GP129,True
seed1:GP130,1,GP130,True
seed1:GP131,1,GP131,True
seed1:GP132,1,GP132,True
seed1:GP133,1,GP133,True
seed1:GP134,1,GP134,True
seed1:GP135,1,GP135,True
seed1:GP136,1,GP136,True
seed1:GP137,1,GP137,True
seed1:GP138,1,GP138,True
seed1:GP139,1,GP139,True
seed1:GP140,1,GP140,True
seed1:GP141,1,GP141,True
seed1:GP142,1,GP142,True
seed1:GP143,1,GP143,True
seed1:GP144,1,GP144,True
seed1:GP145,1,GP145,True
seed1:GP146,1,GP146,True
seed1:GP147,1,GP147,True
seed1:GP148,1,GP148,True
seed1:GP149,1,GP149,True
seed1:GP150,1,GP150,True
seed1:GP151,1,GP151,True
seed1:GP152,1,GP152,True
seed1:GP153,1,GP153,True
seed1:GP154,1,GP154,True
seed1:GP155,1,GP155,True
seed1:GP156,1,GP156,True
seed1:GP157,1,GP157,True
seed1:GP158,1,GP158,True
seed1:GP159,1,GP159,True
seed1:GP160,1,GP160,True
seed1:GP161,1,GP161,True
seed1:GP162,1,GP162,True
seed1:GP163,1,GP163,True
seed1:GP164,1,GP164,True
seed1:GP165,1,GP165,True
seed1:GP166,1,GP166,True
seed1:GP167,1,GP167,True
seed1:GP168,1,GP168,True
seed1:GP169,1,GP169,True
seed1:GP170,1,GP170,True
seed1:GP171,1,GP171,True
seed1:GP172,1,GP172,True
seed1:GP173,1,GP173,True
seed1:GP174,1,GP174,True
seed1:GP175,1,GP175,True
seed1:GP176,1,GP176,True
seed1:GP177,1,GP177,True
seed1:GP178,1,GP178,True
seed1:GP179,1,GP179,True
seed1:GP180,1,GP180,True
seed1:GP181,1,GP181,True
seed1:GP182,1,GP182,True
seed1:GP183,1,GP183,True
seed1:GP184,1,GP184,True
seed1:GP185,1,GP185,True
seed1:GP186,1,GP186,True
seed1:GP187,1,GP187,True
seed1:GP188,1,GP188,True
seed1:GP189,1,GP189,True
seed1:GP190,1,GP190,True
seed1:GP191,1,GP191,True
seed1:GP192,1,GP192,True
seed1:GP193,1,GP193,True
seed1:GP194,1,GP194,True
seed1:GP195,1,GP195,True
seed1:GP196,1,GP196,True
seed1:GP197,1,GP197,True
seed1:GP198,1,GP198,True
seed1:GP199,1,GP199,True
seed1:GP200,1,GP200,True
seed1:GP201,1,GP201,True
seed1:GP202,1,GP202,True
seed1:GP203,1,GP203,True
seed1:GP204,1,GP204,True
seed1:GP205,1,GP205,True
seed1:GP206,1,GP206,True
seed1:GP207,1,GP207,False
seed1:GP208,1,GP208,True
seed1:GP209,1,GP209,True
seed1:GP210,1,GP210,True
seed1:GP211,1,GP211,True
seed1:GP212,1,GP212,True
seed1:GP213,1,GP213,True
seed1:GP214,1,GP214,True
seed1:GP215,1,GP215,True
seed1:GP216,1,GP216,True
seed1:GP217,1,GP217,True
seed1:GP218,1,GP218,True
seed1:GP219,1,GP219,True
seed1:GP220,1,GP220,True
seed1:GP221,1,GP221,True
seed1:GP222,1,GP222,True
seed1:GP223,1,GP223,True
seed1:GP224,1,GP224,True
seed1:GP225,1,GP225,True
seed1:GP226,1,GP226,True
seed1:GP227,1,GP227,True
seed1:GP228,1,GP228,True
seed1:GP229,1,GP229,True
seed1:GP230,1,GP230,True
seed1:GP231,1,GP231,True
seed1:GP232,1,GP232,True
seed1:GP233,1,GP233,True
seed1:GP234,1,GP234,True
seed1:GP235,1,GP235,True
seed1:GP236,1,GP236,True
seed1:GP237,1,GP237,True
seed1:GP238,1,GP238,True
seed1:GP239,1,GP239,True
seed1:GP240,1,GP240,True
seed1:GP241,1,GP241,True
seed1:GP242,1,GP242,True
seed1:GP243,1,GP243,True
seed1:GP244,1,GP244,True
seed1:GP245,1,GP245,True
seed1:GP246,1,GP246,True
seed1:GP247,1,GP247,True
seed1:GP248,1,GP248,True
seed1:GP249,1,GP249,True
seed1:GP250,1,GP250,True
seed1:GP251,1,GP251,True
seed1:GP252,1,GP252,True
seed1:GP253,1,GP253,True
seed1:GP254,1,GP254,True
seed1:GP255,1,GP255,True
seed2:GP0,2,GP0,True
seed2:GP1,2,GP1,True
seed2:GP2,2,GP2,True
seed2:GP3,2,GP3,True
seed2:GP4,2,GP4,True
seed2:GP5,2,GP5,True
seed2:GP6,2,GP6,True
seed2:GP7,2,GP7,True
seed2:GP8,2,GP8,True
seed2:GP9,2,GP9,True
seed2:GP10,2,GP10,True
seed2:GP11,2,GP11,True
